event,x_pos,y_pos,z_pos,trk_index
3,148.2309291136789,156.01276050040502,-17.0,6
4,109.67373182310165,119.25318252980728,0.0,1
4,92.6847820647678,125.52995753261098,-8.5,1
4,75.6733766608003,131.79282358305332,-17.0,1
4,65.94785341931262,24.826324689525535,0.0,2
4,71.69691585513962,36.553889678311904,-8.5,2
4,77.4474720295561,48.30837493297887,-17.0,2
4,140.75184501583078,3.400146300444043,0.0,3
4,130.90690804125063,3.697672356000299,-8.5,3
4,121.04814364634692,4.012837934992259,-17.0,3
4,114.2097224353637,130.5171397220728,0.0,4
4,93.28309264952577,126.10730316240425,-8.5,4
4,72.33644156052225,121.68915860149514,-17.0,4
4,87.39853181742826,119.9047271666635,0.0,5
4,100.9393570434282,143.0252438737599,-8.5,5
4,114.48781278613907,166.14447121819305,-17.0,5
4,99.34924975707091,124.07229929879671,0.0,6
4,98.91037951878869,123.2859177175839,-8.5,6
4,98.46601692793352,122.49724117433686,-17.0,6
5,61.52722372749224,24.98916271404645,0.0,1
5,60.75074679520094,24.62997612006426,-8.5,1
5,59.98117002937451,24.255110812670157,-17.0,1
5,17.2638060459572,123.47446030236453,0.0,2
5,17.30701469775928,123.86034268076861,-8.5,2
5,17.35404734241941,124.25528672027136,-17.0,2
5,51.46289069767323,99.07750546035341,0.0,3
5,59.35403588043171,74.79162814791778,-8.5,3
5,67.25138498029331,50.526446726261696,-17.0,3
5,50.126031482878425,130.15829044690653,0.0,4
5,48.17809065425577,129.01969645651565,-8.5,4
5,46.230355188097164,127.87598422993764,-17.0,4
5,49.40030382189411,126.07176005025217,0.0,5
5,35.961628236107614,123.41008035035922,-8.5,5
5,22.5286397550219,120.7506003259106,-17.0,5
5,127.75623641471576,127.98629962988448,0.0,6
5,119.35548063728932,122.44143335974172,-8.5,6
5,110.96455877023465,116.8889600255411,-17.0,6
6,78.360375592682,99.16998149964593,0.0,1
6,73.87271348653651,97.63702240942963,-8.5,1
6,69.39151021650083,96.10390696163843,-17.0,1
6,30.202579914640335,130.4281990896863,0.0,2
6,28.84963503937767,129.88457551491055,-8.5,2
6,27.51086296554899,129.33274657111875,-17.0,2
6,117.39340571955836,73.45029881578228,0.0,3
6,119.45012761886728,75.25036085005542,-8.5,3
6,121.4993508826078,77.03844630717157,-17.0,3
6,51.139159869918466,114.5403298527124,0.0,4
6,60.81927388424899,115.792142875658,-8.5,4
6,70.48800639270807,117.0455044972608,-17.0,4
6,106.81797205389043,6.540876876353459,0.0,5
6,107.23828157024981,6.91373753892749,-8.5,5
6,107.67150158864742,7.300652939528675,-17.0,5
6,50.98297905694896,98.86743972632495,0.0,6
6,79.9594824131921,76.54381258904705,-8.5,6
6,108.94238721920243,54.210965472034886,-17.0,6
7,87.00600673255403,133.72614389126346,0.0,1
7,86.98863198201794,132.40492457259154,-8.5,1
7,86.96568434416336,131.07182957400394,-17.0,1
7,102.73965477724416,65.10941794897418,0.0,2
7,105.64009502459433,64.83259277072378,-8.5,2
7,108.54418934050769,64.54924339236294,-17.0,2
7,63.211741107450344,62.42315538338726,0.0,3
7,73.67231214002543,58.1564189990023,-8.5,3
7,84.12457341733256,53.90201755677708,-17.0,3
7,101.92498732628457,126.06442452497234,0.0,4
7,101.9144068380093,126.52275234374734,-8.5,4
7,101.89860638058927,126.97958613499657,-17.0,4
7,121.71258209262751,19.020911264754858,0.0,5
7,122.52167879244995,20.294746465881897,-8.5,5
7,123.32734888123711,21.584750936652856,-17.0,5
7,122.40928699742295,115.42726074437097,0.0,6
7,125.08676088012233,115.0237325743144,-8.5,6
7,127.77639784615057,114.6317881454531,-17.0,6
8,63.11716950011595,126.66091563077035,0.0,1
8,64.12367445006421,126.98467190315941,-8.5,1
8,65.13818903324699,127.31381488540754,-17.0,1
8,82.48311544534664,111.09201921911126,0.0,2
